[Tue May 26 22:59:00 2026] 
=======================================================
[Tue May 26 22:59:00 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Tue May 26 22:59:00 2026] Μοντέλο    : former_dfer
[Tue May 26 22:59:00 2026] Optimizer  : SGD (LR: 0.001)
[Tue May 26 22:59:00 2026] Scheduler  : StepLR
[Tue May 26 22:59:00 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Tue May 26 22:59:00 2026] =======================================================

[Tue May 26 23:00:29 2026] [Train] epo:1/30, batch_idx_tr:293/293, running_loss_tr:1.96, train acc:21.43%
[Tue May 26 23:01:52 2026] [Test] epo:1/30, batch_idx_tr:293/293, WAR_te:28.11%, UAR_te:32.86%
[Tue May 26 23:03:13 2026] [Train] epo:2/30, batch_idx_tr:293/293, running_loss_tr:1.65, train acc:36.69%
[Tue May 26 23:04:31 2026] [Test] epo:2/30, batch_idx_tr:293/293, WAR_te:35.67%, UAR_te:36.38%
[Tue May 26 23:05:53 2026] [Train] epo:3/30, batch_idx_tr:293/293, running_loss_tr:1.54, train acc:41.82%
[Tue May 26 23:07:10 2026] [Test] epo:3/30, batch_idx_tr:293/293, WAR_te:26.27%, UAR_te:26.65%
[Tue May 26 23:08:27 2026] [Train] epo:4/30, batch_idx_tr:293/293, running_loss_tr:1.50, train acc:44.59%
[Tue May 26 23:09:39 2026] [Test] epo:4/30, batch_idx_tr:293/293, WAR_te:44.98%, UAR_te:39.92%
[Tue May 26 23:10:59 2026] [Train] epo:5/30, batch_idx_tr:293/293, running_loss_tr:1.43, train acc:46.80%
[Tue May 26 23:12:15 2026] [Test] epo:5/30, batch_idx_tr:293/293, WAR_te:48.91%, UAR_te:43.80%
[Tue May 26 23:13:32 2026] [Train] epo:6/30, batch_idx_tr:293/293, running_loss_tr:1.39, train acc:47.82%
[Tue May 26 23:14:49 2026] [Test] epo:6/30, batch_idx_tr:293/293, WAR_te:41.48%, UAR_te:37.94%
[Tue May 26 23:16:11 2026] [Train] epo:7/30, batch_idx_tr:293/293, running_loss_tr:1.36, train acc:49.18%
[Tue May 26 23:17:29 2026] [Test] epo:7/30, batch_idx_tr:293/293, WAR_te:48.83%, UAR_te:45.41%
[Tue May 26 23:18:47 2026] [Train] epo:8/30, batch_idx_tr:293/293, running_loss_tr:1.32, train acc:50.81%
[Tue May 26 23:20:05 2026] [Test] epo:8/30, batch_idx_tr:293/293, WAR_te:53.31%, UAR_te:48.20%
[Tue May 26 23:21:24 2026] [Train] epo:9/30, batch_idx_tr:293/293, running_loss_tr:1.28, train acc:52.58%
[Tue May 26 23:22:43 2026] [Test] epo:9/30, batch_idx_tr:293/293, WAR_te:53.18%, UAR_te:50.94%
[Tue May 26 23:24:00 2026] [Train] epo:10/30, batch_idx_tr:293/293, running_loss_tr:1.25, train acc:53.15%
[Tue May 26 23:25:13 2026] [Test] epo:10/30, batch_idx_tr:293/293, WAR_te:53.05%, UAR_te:49.95%
[Tue May 26 23:26:35 2026] [Train] epo:11/30, batch_idx_tr:293/293, running_loss_tr:1.22, train acc:55.00%
[Tue May 26 23:27:54 2026] [Test] epo:11/30, batch_idx_tr:293/293, WAR_te:54.16%, UAR_te:49.62%
[Tue May 26 23:29:15 2026] [Train] epo:12/30, batch_idx_tr:293/293, running_loss_tr:1.18, train acc:54.86%
[Tue May 26 23:30:34 2026] [Test] epo:12/30, batch_idx_tr:293/293, WAR_te:47.89%, UAR_te:45.55%
[Tue May 26 23:31:52 2026] [Train] epo:13/30, batch_idx_tr:293/293, running_loss_tr:1.17, train acc:55.70%
[Tue May 26 23:33:09 2026] [Test] epo:13/30, batch_idx_tr:293/293, WAR_te:42.63%, UAR_te:46.23%
[Tue May 26 23:34:29 2026] [Train] epo:14/30, batch_idx_tr:293/293, running_loss_tr:1.14, train acc:56.51%
