[Tue Jun  2 15:23:12 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 3: [ 0.683  0.882  0.626  0.769  1.138 11.523  1.851]
[Tue Jun  2 15:23:12 2026] 
=======================================================
[Tue Jun  2 15:23:12 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Tue Jun  2 15:23:12 2026] Μοντέλο    : former_dfer
[Tue Jun  2 15:23:12 2026] Optimizer  : SGD (LR: 0.001)
[Tue Jun  2 15:23:12 2026] Scheduler  : StepLR
[Tue Jun  2 15:23:12 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Tue Jun  2 15:23:12 2026] =======================================================

[Tue Jun  2 15:24:43 2026] [Train] epo:1/30, batch_idx_tr:293/293, running_loss_tr:1.96, train acc:22.68%
[Tue Jun  2 15:26:11 2026] [Test] epo:1/30, batch_idx_tr:293/293, WAR_te:28.97%, UAR_te:30.91%
[Tue Jun  2 15:27:34 2026] [Train] epo:2/30, batch_idx_tr:293/293, running_loss_tr:1.65, train acc:36.25%
[Tue Jun  2 15:28:47 2026] [Test] epo:2/30, batch_idx_tr:293/293, WAR_te:33.38%, UAR_te:37.82%
[Tue Jun  2 15:30:08 2026] [Train] epo:3/30, batch_idx_tr:293/293, running_loss_tr:1.56, train acc:41.01%
[Tue Jun  2 15:31:22 2026] [Test] epo:3/30, batch_idx_tr:293/293, WAR_te:36.75%, UAR_te:41.32%
[Tue Jun  2 15:32:38 2026] [Train] epo:4/30, batch_idx_tr:293/293, running_loss_tr:1.48, train acc:43.32%
[Tue Jun  2 15:33:53 2026] [Test] epo:4/30, batch_idx_tr:293/293, WAR_te:33.25%, UAR_te:35.75%
[Tue Jun  2 15:35:12 2026] [Train] epo:5/30, batch_idx_tr:293/293, running_loss_tr:1.42, train acc:45.85%
[Tue Jun  2 15:36:31 2026] [Test] epo:5/30, batch_idx_tr:293/293, WAR_te:42.82%, UAR_te:42.66%
[Tue Jun  2 15:37:47 2026] [Train] epo:6/30, batch_idx_tr:293/293, running_loss_tr:1.40, train acc:47.86%
[Tue Jun  2 15:39:03 2026] [Test] epo:6/30, batch_idx_tr:293/293, WAR_te:47.39%, UAR_te:45.24%
[Tue Jun  2 15:40:25 2026] [Train] epo:7/30, batch_idx_tr:293/293, running_loss_tr:1.36, train acc:48.70%
