[Tue May 26 12:51:39 2026] 
=======================================================
[Tue May 26 12:51:39 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Tue May 26 12:51:39 2026] Μοντέλο    : my_hybrid
[Tue May 26 12:51:39 2026] Optimizer  : SGD (LR: 0.001)
[Tue May 26 12:51:39 2026] Scheduler  : StepLR
[Tue May 26 12:51:39 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Tue May 26 12:51:39 2026] =======================================================

[Tue May 26 12:59:40 2026] [Train] epo:1/30, batch_idx_tr:1170/1170, running_loss_tr:1.73, train acc:36.77%
[Tue May 26 13:05:48 2026] [Test] epo:1/30, batch_idx_tr:1170/1170, WAR_te:35.97%, UAR_te:37.33%
[Tue May 26 13:13:25 2026] [Train] epo:2/30, batch_idx_tr:1170/1170, running_loss_tr:1.44, train acc:49.33%
[Tue May 26 13:19:03 2026] [Test] epo:2/30, batch_idx_tr:1170/1170, WAR_te:52.80%, UAR_te:49.38%
[Tue May 26 13:26:38 2026] [Train] epo:3/30, batch_idx_tr:1170/1170, running_loss_tr:1.30, train acc:54.54%
[Tue May 26 13:32:15 2026] [Test] epo:3/30, batch_idx_tr:1170/1170, WAR_te:56.94%, UAR_te:51.00%
[Tue May 26 13:39:50 2026] [Train] epo:4/30, batch_idx_tr:1170/1170, running_loss_tr:1.24, train acc:57.03%
[Tue May 26 13:45:27 2026] [Test] epo:4/30, batch_idx_tr:1170/1170, WAR_te:54.46%, UAR_te:53.94%
[Tue May 26 13:53:03 2026] [Train] epo:5/30, batch_idx_tr:1170/1170, running_loss_tr:1.16, train acc:59.18%
[Tue May 26 13:58:38 2026] [Test] epo:5/30, batch_idx_tr:1170/1170, WAR_te:62.54%, UAR_te:53.54%
[Tue May 26 14:06:13 2026] [Train] epo:6/30, batch_idx_tr:1170/1170, running_loss_tr:1.08, train acc:61.11%
[Tue May 26 14:11:48 2026] [Test] epo:6/30, batch_idx_tr:1170/1170, WAR_te:62.96%, UAR_te:55.14%
[Tue May 26 14:19:23 2026] [Train] epo:7/30, batch_idx_tr:1170/1170, running_loss_tr:1.01, train acc:63.89%
[Tue May 26 14:24:58 2026] [Test] epo:7/30, batch_idx_tr:1170/1170, WAR_te:52.63%, UAR_te:54.87%
[Tue May 26 14:32:34 2026] [Train] epo:8/30, batch_idx_tr:1170/1170, running_loss_tr:1.00, train acc:64.49%
[Tue May 26 14:38:10 2026] [Test] epo:8/30, batch_idx_tr:1170/1170, WAR_te:53.18%, UAR_te:51.34%
[Tue May 26 14:45:46 2026] [Train] epo:9/30, batch_idx_tr:1170/1170, running_loss_tr:0.95, train acc:66.72%
[Tue May 26 14:51:23 2026] [Test] epo:9/30, batch_idx_tr:1170/1170, WAR_te:55.32%, UAR_te:49.36%
[Tue May 26 14:58:58 2026] [Train] epo:10/30, batch_idx_tr:1170/1170, running_loss_tr:0.90, train acc:67.77%
[Tue May 26 15:04:35 2026] [Test] epo:10/30, batch_idx_tr:1170/1170, WAR_te:63.69%, UAR_te:55.99%
