[Sun Apr  5 23:17:20 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Sun Apr  5 23:21:58 2026] [Train] epo:1/50, batch_idx_tr:293/293, running_loss_tr:1.86, train acc:22.04%
[Sun Apr  5 23:22:17 2026] [Test] epo:1/50, batch_idx_tr:293/293, WAR_te:23.71%, UAR_te:16.38%
[Sun Apr  5 23:26:05 2026] [Train] epo:2/50, batch_idx_tr:293/293, running_loss_tr:1.80, train acc:22.23%
[Sun Apr  5 23:26:23 2026] [Test] epo:2/50, batch_idx_tr:293/293, WAR_te:19.91%, UAR_te:16.04%
[Sun Apr  5 23:30:11 2026] [Train] epo:3/50, batch_idx_tr:293/293, running_loss_tr:1.78, train acc:21.99%
[Sun Apr  5 23:30:29 2026] [Test] epo:3/50, batch_idx_tr:293/293, WAR_te:23.71%, UAR_te:15.60%
[Sun Apr  5 23:34:16 2026] [Train] epo:4/50, batch_idx_tr:293/293, running_loss_tr:1.75, train acc:24.34%
[Sun Apr  5 23:34:34 2026] [Test] epo:4/50, batch_idx_tr:293/293, WAR_te:27.55%, UAR_te:21.30%
[Sun Apr  5 23:38:22 2026] [Train] epo:5/50, batch_idx_tr:293/293, running_loss_tr:1.68, train acc:30.39%
[Sun Apr  5 23:38:40 2026] [Test] epo:5/50, batch_idx_tr:293/293, WAR_te:33.79%, UAR_te:25.10%
[Sun Apr  5 23:42:28 2026] [Train] epo:6/50, batch_idx_tr:293/293, running_loss_tr:1.57, train acc:37.41%
[Sun Apr  5 23:42:46 2026] [Test] epo:6/50, batch_idx_tr:293/293, WAR_te:37.21%, UAR_te:30.57%
[Sun Apr  5 23:46:34 2026] [Train] epo:7/50, batch_idx_tr:293/293, running_loss_tr:1.48, train acc:42.30%
[Sun Apr  5 23:46:52 2026] [Test] epo:7/50, batch_idx_tr:293/293, WAR_te:43.44%, UAR_te:33.09%
[Sun Apr  5 23:50:40 2026] [Train] epo:8/50, batch_idx_tr:293/293, running_loss_tr:1.38, train acc:47.47%
[Sun Apr  5 23:50:59 2026] [Test] epo:8/50, batch_idx_tr:293/293, WAR_te:48.06%, UAR_te:37.11%
[Sun Apr  5 23:54:46 2026] [Train] epo:9/50, batch_idx_tr:293/293, running_loss_tr:1.30, train acc:49.67%
[Sun Apr  5 23:55:05 2026] [Test] epo:9/50, batch_idx_tr:293/293, WAR_te:49.25%, UAR_te:37.22%
[Sun Apr  5 23:58:52 2026] [Train] epo:10/50, batch_idx_tr:293/293, running_loss_tr:1.24, train acc:53.09%
[Sun Apr  5 23:59:10 2026] [Test] epo:10/50, batch_idx_tr:293/293, WAR_te:52.07%, UAR_te:40.54%
[Mon Apr  6 00:02:58 2026] [Train] epo:11/50, batch_idx_tr:293/293, running_loss_tr:1.15, train acc:56.46%
[Mon Apr  6 00:03:16 2026] [Test] epo:11/50, batch_idx_tr:293/293, WAR_te:48.48%, UAR_te:39.31%
[Mon Apr  6 00:07:03 2026] [Train] epo:12/50, batch_idx_tr:293/293, running_loss_tr:1.10, train acc:58.83%
[Mon Apr  6 00:07:22 2026] [Test] epo:12/50, batch_idx_tr:293/293, WAR_te:52.71%, UAR_te:41.82%
[Mon Apr  6 00:11:09 2026] [Train] epo:13/50, batch_idx_tr:293/293, running_loss_tr:1.03, train acc:61.97%
[Mon Apr  6 00:11:27 2026] [Test] epo:13/50, batch_idx_tr:293/293, WAR_te:52.71%, UAR_te:40.99%
