[Mon Apr  6 16:44:26 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Mon Apr  6 16:49:06 2026] [Train] epo:1/50, batch_idx_tr:293/293, running_loss_tr:1.82, train acc:23.26%
[Mon Apr  6 16:49:25 2026] [Test] epo:1/50, batch_idx_tr:293/293, WAR_te:24.71%, UAR_te:17.62%
[Mon Apr  6 16:53:13 2026] [Train] epo:2/50, batch_idx_tr:293/293, running_loss_tr:1.76, train acc:25.66%
[Mon Apr  6 16:53:31 2026] [Test] epo:2/50, batch_idx_tr:293/293, WAR_te:26.34%, UAR_te:18.32%
[Mon Apr  6 16:57:18 2026] [Train] epo:3/50, batch_idx_tr:293/293, running_loss_tr:1.73, train acc:26.89%
[Mon Apr  6 16:57:37 2026] [Test] epo:3/50, batch_idx_tr:293/293, WAR_te:28.47%, UAR_te:20.74%
[Mon Apr  6 17:01:24 2026] [Train] epo:4/50, batch_idx_tr:293/293, running_loss_tr:1.70, train acc:28.48%
[Mon Apr  6 17:01:42 2026] [Test] epo:4/50, batch_idx_tr:293/293, WAR_te:29.07%, UAR_te:19.53%
[Mon Apr  6 17:05:29 2026] [Train] epo:5/50, batch_idx_tr:293/293, running_loss_tr:1.67, train acc:30.52%
[Mon Apr  6 17:05:47 2026] [Test] epo:5/50, batch_idx_tr:293/293, WAR_te:30.31%, UAR_te:22.81%
[Mon Apr  6 17:09:35 2026] [Train] epo:6/50, batch_idx_tr:293/293, running_loss_tr:1.61, train acc:36.09%
[Mon Apr  6 17:09:53 2026] [Test] epo:6/50, batch_idx_tr:293/293, WAR_te:36.68%, UAR_te:27.90%
[Mon Apr  6 17:13:40 2026] [Train] epo:7/50, batch_idx_tr:293/293, running_loss_tr:1.50, train acc:42.04%
[Mon Apr  6 17:13:59 2026] [Test] epo:7/50, batch_idx_tr:293/293, WAR_te:40.15%, UAR_te:34.12%
[Mon Apr  6 17:17:46 2026] [Train] epo:8/50, batch_idx_tr:293/293, running_loss_tr:1.40, train acc:46.63%
[Mon Apr  6 17:18:04 2026] [Test] epo:8/50, batch_idx_tr:293/293, WAR_te:46.94%, UAR_te:36.14%
[Mon Apr  6 17:21:52 2026] [Train] epo:9/50, batch_idx_tr:293/293, running_loss_tr:1.33, train acc:49.68%
[Mon Apr  6 17:22:10 2026] [Test] epo:9/50, batch_idx_tr:293/293, WAR_te:47.71%, UAR_te:37.56%
[Mon Apr  6 17:25:57 2026] [Train] epo:10/50, batch_idx_tr:293/293, running_loss_tr:1.26, train acc:52.67%
[Mon Apr  6 17:26:15 2026] [Test] epo:10/50, batch_idx_tr:293/293, WAR_te:52.46%, UAR_te:40.71%
[Mon Apr  6 17:30:03 2026] [Train] epo:11/50, batch_idx_tr:293/293, running_loss_tr:1.21, train acc:54.38%
[Mon Apr  6 17:30:21 2026] [Test] epo:11/50, batch_idx_tr:293/293, WAR_te:49.64%, UAR_te:39.31%
[Mon Apr  6 17:34:08 2026] [Train] epo:12/50, batch_idx_tr:293/293, running_loss_tr:1.16, train acc:56.98%
[Mon Apr  6 17:34:26 2026] [Test] epo:12/50, batch_idx_tr:293/293, WAR_te:50.75%, UAR_te:41.85%
[Mon Apr  6 17:38:14 2026] [Train] epo:13/50, batch_idx_tr:293/293, running_loss_tr:1.09, train acc:59.21%
[Mon Apr  6 17:38:32 2026] [Test] epo:13/50, batch_idx_tr:293/293, WAR_te:54.98%, UAR_te:45.38%
[Mon Apr  6 17:42:19 2026] [Train] epo:14/50, batch_idx_tr:293/293, running_loss_tr:1.03, train acc:61.78%
[Mon Apr  6 17:42:37 2026] [Test] epo:14/50, batch_idx_tr:293/293, WAR_te:52.50%, UAR_te:43.55%
[Mon Apr  6 17:46:25 2026] [Train] epo:15/50, batch_idx_tr:293/293, running_loss_tr:0.97, train acc:64.04%
[Mon Apr  6 17:46:43 2026] [Test] epo:15/50, batch_idx_tr:293/293, WAR_te:51.47%, UAR_te:40.99%
[Mon Apr  6 17:50:30 2026] [Train] epo:16/50, batch_idx_tr:293/293, running_loss_tr:0.89, train acc:67.09%
[Mon Apr  6 17:50:48 2026] [Test] epo:16/50, batch_idx_tr:293/293, WAR_te:54.72%, UAR_te:44.83%
[Mon Apr  6 17:54:36 2026] [Train] epo:17/50, batch_idx_tr:293/293, running_loss_tr:0.83, train acc:69.48%
