[Wed Jun  3 12:52:32 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 2: [ 0.683  0.882  0.626  0.769  1.138 11.522  1.854]
[Wed Jun  3 12:52:32 2026] 
=======================================================
[Wed Jun  3 12:52:32 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Wed Jun  3 12:52:32 2026] Μοντέλο    : mc3_18
[Wed Jun  3 12:52:32 2026] Optimizer  : SGD (LR: 0.001)
[Wed Jun  3 12:52:32 2026] Scheduler  : StepLR
[Wed Jun  3 12:52:32 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Wed Jun  3 12:52:32 2026] =======================================================

[Wed Jun  3 12:57:09 2026] [Train] epo:1/30, batch_idx_tr:293/293, running_loss_tr:1.83, train acc:26.03%
[Wed Jun  3 13:01:10 2026] [Test] epo:1/30, batch_idx_tr:293/293, WAR_te:26.48%, UAR_te:33.88%
[Wed Jun  3 13:04:58 2026] [Train] epo:2/30, batch_idx_tr:293/293, running_loss_tr:1.52, train acc:42.44%
[Wed Jun  3 13:07:28 2026] [Test] epo:2/30, batch_idx_tr:293/293, WAR_te:29.09%, UAR_te:35.69%
[Wed Jun  3 13:11:16 2026] [Train] epo:3/30, batch_idx_tr:293/293, running_loss_tr:1.36, train acc:48.79%
[Wed Jun  3 13:13:45 2026] [Test] epo:3/30, batch_idx_tr:293/293, WAR_te:49.42%, UAR_te:45.33%
[Wed Jun  3 13:17:32 2026] [Train] epo:4/30, batch_idx_tr:293/293, running_loss_tr:1.24, train acc:53.39%
[Wed Jun  3 13:20:02 2026] [Test] epo:4/30, batch_idx_tr:293/293, WAR_te:54.85%, UAR_te:48.49%
[Wed Jun  3 13:23:50 2026] [Train] epo:5/30, batch_idx_tr:293/293, running_loss_tr:1.14, train acc:55.87%
[Wed Jun  3 13:26:20 2026] [Test] epo:5/30, batch_idx_tr:293/293, WAR_te:51.39%, UAR_te:45.45%
[Wed Jun  3 13:30:08 2026] [Train] epo:6/30, batch_idx_tr:293/293, running_loss_tr:1.07, train acc:59.01%
[Wed Jun  3 13:32:42 2026] [Test] epo:6/30, batch_idx_tr:293/293, WAR_te:57.58%, UAR_te:47.74%
[Wed Jun  3 13:36:30 2026] [Train] epo:7/30, batch_idx_tr:293/293, running_loss_tr:0.99, train acc:61.19%
[Wed Jun  3 13:39:02 2026] [Test] epo:7/30, batch_idx_tr:293/293, WAR_te:56.43%, UAR_te:52.34%
[Wed Jun  3 13:42:49 2026] [Train] epo:8/30, batch_idx_tr:293/293, running_loss_tr:0.93, train acc:63.93%
