[Fri Jun  5 19:07:52 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 3: [ 0.683  0.882  0.626  0.769  1.138 11.523  1.851]
[Fri Jun  5 19:07:52 2026] 
=======================================================
[Fri Jun  5 19:07:52 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Fri Jun  5 19:07:52 2026] Μοντέλο    : mc3_18
[Fri Jun  5 19:07:52 2026] Optimizer  : SGD (LR: 0.001)
[Fri Jun  5 19:07:52 2026] Scheduler  : StepLR
[Fri Jun  5 19:07:52 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Fri Jun  5 19:07:52 2026] =======================================================

[Fri Jun  5 19:12:30 2026] [Train] epo:1/30, batch_idx_tr:293/293, running_loss_tr:1.85, train acc:25.34%
[Fri Jun  5 19:16:25 2026] [Test] epo:1/30, batch_idx_tr:293/293, WAR_te:34.44%, UAR_te:35.59%
[Fri Jun  5 19:20:13 2026] [Train] epo:2/30, batch_idx_tr:293/293, running_loss_tr:1.56, train acc:41.40%
[Fri Jun  5 19:22:43 2026] [Test] epo:2/30, batch_idx_tr:293/293, WAR_te:35.94%, UAR_te:40.50%
[Fri Jun  5 19:26:31 2026] [Train] epo:3/30, batch_idx_tr:293/293, running_loss_tr:1.37, train acc:47.62%
[Fri Jun  5 19:29:00 2026] [Test] epo:3/30, batch_idx_tr:293/293, WAR_te:49.57%, UAR_te:45.56%
[Fri Jun  5 19:32:48 2026] [Train] epo:4/30, batch_idx_tr:293/293, running_loss_tr:1.26, train acc:52.29%
[Fri Jun  5 19:35:20 2026] [Test] epo:4/30, batch_idx_tr:293/293, WAR_te:52.44%, UAR_te:50.62%
[Fri Jun  5 19:39:08 2026] [Train] epo:5/30, batch_idx_tr:293/293, running_loss_tr:1.16, train acc:55.41%
[Fri Jun  5 19:41:39 2026] [Test] epo:5/30, batch_idx_tr:293/293, WAR_te:47.44%, UAR_te:47.21%
[Fri Jun  5 19:45:27 2026] [Train] epo:6/30, batch_idx_tr:293/293, running_loss_tr:1.08, train acc:57.63%
[Fri Jun  5 19:47:57 2026] [Test] epo:6/30, batch_idx_tr:293/293, WAR_te:50.90%, UAR_te:49.80%
[Fri Jun  5 19:51:45 2026] [Train] epo:7/30, batch_idx_tr:293/293, running_loss_tr:1.02, train acc:60.47%
[Fri Jun  5 19:54:14 2026] [Test] epo:7/30, batch_idx_tr:293/293, WAR_te:47.86%, UAR_te:49.63%
[Fri Jun  5 19:58:02 2026] [Train] epo:8/30, batch_idx_tr:293/293, running_loss_tr:0.94, train acc:62.59%
[Fri Jun  5 20:00:32 2026] [Test] epo:8/30, batch_idx_tr:293/293, WAR_te:55.30%, UAR_te:52.58%
[Fri Jun  5 20:04:20 2026] [Train] epo:9/30, batch_idx_tr:293/293, running_loss_tr:0.88, train acc:64.82%
[Fri Jun  5 20:06:50 2026] [Test] epo:9/30, batch_idx_tr:293/293, WAR_te:59.40%, UAR_te:55.03%
[Fri Jun  5 20:10:38 2026] [Train] epo:10/30, batch_idx_tr:293/293, running_loss_tr:0.84, train acc:66.63%
[Fri Jun  5 20:13:09 2026] [Test] epo:10/30, batch_idx_tr:293/293, WAR_te:59.83%, UAR_te:54.63%
[Fri Jun  5 20:16:58 2026] [Train] epo:11/30, batch_idx_tr:293/293, running_loss_tr:0.80, train acc:68.38%
