[Thu Jun  4 14:00:33 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 4: [ 0.683  0.882  0.626  0.769  1.138 11.525  1.852]
[Thu Jun  4 14:00:33 2026] 
=======================================================
[Thu Jun  4 14:00:33 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Thu Jun  4 14:00:33 2026] Μοντέλο    : mc3_18
[Thu Jun  4 14:00:33 2026] Optimizer  : SGD (LR: 0.001)
[Thu Jun  4 14:00:33 2026] Scheduler  : StepLR
[Thu Jun  4 14:00:33 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Thu Jun  4 14:00:33 2026] =======================================================

[Thu Jun  4 14:05:13 2026] [Train] epo:1/30, batch_idx_tr:293/293, running_loss_tr:1.85, train acc:25.56%
[Thu Jun  4 14:09:10 2026] [Test] epo:1/30, batch_idx_tr:293/293, WAR_te:28.47%, UAR_te:34.26%
[Thu Jun  4 14:12:59 2026] [Train] epo:2/30, batch_idx_tr:293/293, running_loss_tr:1.56, train acc:40.61%
[Thu Jun  4 14:15:30 2026] [Test] epo:2/30, batch_idx_tr:293/293, WAR_te:41.30%, UAR_te:44.24%
[Thu Jun  4 14:19:18 2026] [Train] epo:3/30, batch_idx_tr:293/293, running_loss_tr:1.37, train acc:48.66%
[Thu Jun  4 14:21:49 2026] [Test] epo:3/30, batch_idx_tr:293/293, WAR_te:50.28%, UAR_te:47.07%
[Thu Jun  4 14:25:37 2026] [Train] epo:4/30, batch_idx_tr:293/293, running_loss_tr:1.24, train acc:53.33%
[Thu Jun  4 14:28:08 2026] [Test] epo:4/30, batch_idx_tr:293/293, WAR_te:51.43%, UAR_te:45.76%
[Thu Jun  4 14:31:55 2026] [Train] epo:5/30, batch_idx_tr:293/293, running_loss_tr:1.16, train acc:55.88%
[Thu Jun  4 14:34:27 2026] [Test] epo:5/30, batch_idx_tr:293/293, WAR_te:54.47%, UAR_te:48.93%
[Thu Jun  4 14:38:14 2026] [Train] epo:6/30, batch_idx_tr:293/293, running_loss_tr:1.08, train acc:59.18%
[Thu Jun  4 14:40:44 2026] [Test] epo:6/30, batch_idx_tr:293/293, WAR_te:57.08%, UAR_te:46.88%
[Thu Jun  4 14:44:31 2026] [Train] epo:7/30, batch_idx_tr:293/293, running_loss_tr:1.00, train acc:61.46%
[Thu Jun  4 14:47:01 2026] [Test] epo:7/30, batch_idx_tr:293/293, WAR_te:53.74%, UAR_te:50.81%
[Thu Jun  4 14:50:49 2026] [Train] epo:8/30, batch_idx_tr:293/293, running_loss_tr:0.96, train acc:63.34%
[Thu Jun  4 14:53:18 2026] [Test] epo:8/30, batch_idx_tr:293/293, WAR_te:59.64%, UAR_te:53.04%
[Thu Jun  4 14:57:05 2026] [Train] epo:9/30, batch_idx_tr:293/293, running_loss_tr:0.88, train acc:65.70%
[Thu Jun  4 14:59:37 2026] [Test] epo:9/30, batch_idx_tr:293/293, WAR_te:52.63%, UAR_te:49.09%
[Thu Jun  4 15:03:25 2026] [Train] epo:10/30, batch_idx_tr:293/293, running_loss_tr:0.84, train acc:66.67%
[Thu Jun  4 15:05:54 2026] [Test] epo:10/30, batch_idx_tr:293/293, WAR_te:54.90%, UAR_te:52.37%
