[Sat Apr 11 11:12:45 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Sat Apr 11 11:12:46 2026] 
=======================================================
[Sat Apr 11 11:12:46 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Sat Apr 11 11:12:46 2026] Μοντέλο    : r3d_18
[Sat Apr 11 11:12:46 2026] Optimizer  : Adam (LR: 0.001)
[Sat Apr 11 11:12:46 2026] Scheduler  : ExponentialLR
[Sat Apr 11 11:12:46 2026] Αξιολόγηση : SINGLE CENTER-CROP (1 Crop)
[Sat Apr 11 11:12:46 2026] =======================================================

[Sat Apr 11 11:16:51 2026] [Train] epo:1/50, batch_idx_tr:293/293, running_loss_tr:1.89, train acc:21.79%
[Sat Apr 11 11:17:08 2026] [Test] epo:1/50, batch_idx_tr:293/293, WAR_te:22.30%, UAR_te:15.00%
[Sat Apr 11 11:20:28 2026] [Train] epo:2/50, batch_idx_tr:293/293, running_loss_tr:1.82, train acc:21.77%
[Sat Apr 11 11:20:44 2026] [Test] epo:2/50, batch_idx_tr:293/293, WAR_te:22.13%, UAR_te:17.02%
[Sat Apr 11 11:24:03 2026] [Train] epo:3/50, batch_idx_tr:293/293, running_loss_tr:1.81, train acc:21.98%
[Sat Apr 11 11:24:18 2026] [Test] epo:3/50, batch_idx_tr:293/293, WAR_te:23.92%, UAR_te:15.82%
[Sat Apr 11 11:27:37 2026] [Train] epo:4/50, batch_idx_tr:293/293, running_loss_tr:1.80, train acc:22.23%
[Sat Apr 11 11:27:53 2026] [Test] epo:4/50, batch_idx_tr:293/293, WAR_te:24.01%, UAR_te:16.70%
[Sat Apr 11 11:31:12 2026] [Train] epo:5/50, batch_idx_tr:293/293, running_loss_tr:1.78, train acc:23.77%
[Sat Apr 11 11:31:28 2026] [Test] epo:5/50, batch_idx_tr:293/293, WAR_te:23.88%, UAR_te:17.44%
[Sat Apr 11 11:34:47 2026] [Train] epo:6/50, batch_idx_tr:293/293, running_loss_tr:1.76, train acc:25.94%
[Sat Apr 11 11:35:02 2026] [Test] epo:6/50, batch_idx_tr:293/293, WAR_te:22.34%, UAR_te:15.43%
[Sat Apr 11 11:38:22 2026] [Train] epo:7/50, batch_idx_tr:293/293, running_loss_tr:1.74, train acc:26.81%
