[Wed May 20 00:25:16 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Wed May 20 00:25:16 2026] 
=======================================================
[Wed May 20 00:25:16 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Wed May 20 00:25:16 2026] Μοντέλο    : r3d_18
[Wed May 20 00:25:16 2026] Optimizer  : Adam (LR: 0.001)
[Wed May 20 00:25:16 2026] Scheduler  : ExponentialLR
[Wed May 20 00:25:16 2026] Αξιολόγηση : SINGLE CENTER-CROP (1 Crop)
[Wed May 20 00:25:16 2026] =======================================================

[Wed May 20 00:29:24 2026] [Train] epo:1/50, batch_idx_tr:293/293, running_loss_tr:1.88, train acc:21.69%
[Wed May 20 00:29:40 2026] [Test] epo:1/50, batch_idx_tr:293/293, WAR_te:23.94%, UAR_te:15.54%
[Wed May 20 00:33:00 2026] [Train] epo:2/50, batch_idx_tr:293/293, running_loss_tr:1.82, train acc:22.50%
[Wed May 20 00:33:16 2026] [Test] epo:2/50, batch_idx_tr:293/293, WAR_te:22.15%, UAR_te:16.28%
[Wed May 20 00:36:36 2026] [Train] epo:3/50, batch_idx_tr:293/293, running_loss_tr:1.81, train acc:22.75%
[Wed May 20 00:36:51 2026] [Test] epo:3/50, batch_idx_tr:293/293, WAR_te:22.36%, UAR_te:14.31%
[Wed May 20 00:40:10 2026] [Train] epo:4/50, batch_idx_tr:293/293, running_loss_tr:1.80, train acc:22.75%
[Wed May 20 00:40:26 2026] [Test] epo:4/50, batch_idx_tr:293/293, WAR_te:23.77%, UAR_te:15.53%
[Wed May 20 00:43:45 2026] [Train] epo:5/50, batch_idx_tr:293/293, running_loss_tr:1.78, train acc:24.60%
[Wed May 20 00:44:00 2026] [Test] epo:5/50, batch_idx_tr:293/293, WAR_te:23.56%, UAR_te:16.14%
[Wed May 20 00:47:19 2026] [Train] epo:6/50, batch_idx_tr:293/293, running_loss_tr:1.76, train acc:26.15%
[Wed May 20 00:47:36 2026] [Test] epo:6/50, batch_idx_tr:293/293, WAR_te:27.11%, UAR_te:20.12%
[Wed May 20 00:50:55 2026] [Train] epo:7/50, batch_idx_tr:293/293, running_loss_tr:1.74, train acc:27.74%
[Wed May 20 00:51:11 2026] [Test] epo:7/50, batch_idx_tr:293/293, WAR_te:25.74%, UAR_te:18.01%
[Wed May 20 00:54:30 2026] [Train] epo:8/50, batch_idx_tr:293/293, running_loss_tr:1.72, train acc:28.59%
[Wed May 20 00:54:46 2026] [Test] epo:8/50, batch_idx_tr:293/293, WAR_te:26.42%, UAR_te:19.09%
[Wed May 20 00:58:05 2026] [Train] epo:9/50, batch_idx_tr:293/293, running_loss_tr:1.70, train acc:29.87%
[Wed May 20 00:58:21 2026] [Test] epo:9/50, batch_idx_tr:293/293, WAR_te:30.78%, UAR_te:23.76%
[Wed May 20 01:01:41 2026] [Train] epo:10/50, batch_idx_tr:293/293, running_loss_tr:1.67, train acc:31.37%
[Wed May 20 01:01:56 2026] [Test] epo:10/50, batch_idx_tr:293/293, WAR_te:28.52%, UAR_te:23.72%
[Wed May 20 01:05:16 2026] [Train] epo:11/50, batch_idx_tr:293/293, running_loss_tr:1.65, train acc:32.74%
[Wed May 20 01:05:32 2026] [Test] epo:11/50, batch_idx_tr:293/293, WAR_te:35.53%, UAR_te:28.92%
