[Mon Apr 13 11:19:50 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Mon Apr 13 11:19:50 2026] 
=======================================================
[Mon Apr 13 11:19:50 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Mon Apr 13 11:19:50 2026] Μοντέλο    : r3d_18
[Mon Apr 13 11:19:50 2026] Optimizer  : Adam (LR: 0.001)
[Mon Apr 13 11:19:50 2026] Scheduler  : ExponentialLR
[Mon Apr 13 11:19:50 2026] Αξιολόγηση : SINGLE CENTER-CROP (1 Crop)
[Mon Apr 13 11:19:50 2026] =======================================================

[Mon Apr 13 11:25:07 2026] [Train] epo:1/50, batch_idx_tr:293/293, running_loss_tr:1.88, train acc:20.57%
[Mon Apr 13 11:25:23 2026] [Test] epo:1/50, batch_idx_tr:293/293, WAR_te:21.96%, UAR_te:16.57%
[Mon Apr 13 11:28:47 2026] [Train] epo:2/50, batch_idx_tr:293/293, running_loss_tr:1.81, train acc:21.00%
[Mon Apr 13 11:29:03 2026] [Test] epo:2/50, batch_idx_tr:293/293, WAR_te:19.01%, UAR_te:15.24%
[Mon Apr 13 11:32:26 2026] [Train] epo:3/50, batch_idx_tr:293/293, running_loss_tr:1.80, train acc:21.80%
[Mon Apr 13 11:32:42 2026] [Test] epo:3/50, batch_idx_tr:293/293, WAR_te:24.32%, UAR_te:15.69%
[Mon Apr 13 11:36:06 2026] [Train] epo:4/50, batch_idx_tr:293/293, running_loss_tr:1.78, train acc:24.20%
[Mon Apr 13 11:36:21 2026] [Test] epo:4/50, batch_idx_tr:293/293, WAR_te:23.46%, UAR_te:14.83%
[Mon Apr 13 11:39:45 2026] [Train] epo:5/50, batch_idx_tr:293/293, running_loss_tr:1.76, train acc:25.33%
[Mon Apr 13 11:40:02 2026] [Test] epo:5/50, batch_idx_tr:293/293, WAR_te:27.23%, UAR_te:19.11%
[Mon Apr 13 11:43:26 2026] [Train] epo:6/50, batch_idx_tr:293/293, running_loss_tr:1.73, train acc:27.55%
[Mon Apr 13 11:43:43 2026] [Test] epo:6/50, batch_idx_tr:293/293, WAR_te:30.14%, UAR_te:25.09%
[Mon Apr 13 11:47:06 2026] [Train] epo:7/50, batch_idx_tr:293/293, running_loss_tr:1.71, train acc:28.46%
[Mon Apr 13 11:47:22 2026] [Test] epo:7/50, batch_idx_tr:293/293, WAR_te:23.97%, UAR_te:18.33%
[Mon Apr 13 11:50:46 2026] [Train] epo:8/50, batch_idx_tr:293/293, running_loss_tr:1.69, train acc:30.62%
[Mon Apr 13 11:51:01 2026] [Test] epo:8/50, batch_idx_tr:293/293, WAR_te:31.93%, UAR_te:23.33%
[Mon Apr 13 11:54:25 2026] [Train] epo:9/50, batch_idx_tr:293/293, running_loss_tr:1.66, train acc:32.44%
[Mon Apr 13 11:54:40 2026] [Test] epo:9/50, batch_idx_tr:293/293, WAR_te:29.15%, UAR_te:23.86%
[Mon Apr 13 11:58:04 2026] [Train] epo:10/50, batch_idx_tr:293/293, running_loss_tr:1.61, train acc:36.11%
[Mon Apr 13 11:58:20 2026] [Test] epo:10/50, batch_idx_tr:293/293, WAR_te:33.69%, UAR_te:23.93%
[Mon Apr 13 12:01:43 2026] [Train] epo:11/50, batch_idx_tr:293/293, running_loss_tr:1.50, train acc:41.72%
[Mon Apr 13 12:02:00 2026] [Test] epo:11/50, batch_idx_tr:293/293, WAR_te:44.95%, UAR_te:35.76%
[Mon Apr 13 12:05:23 2026] [Train] epo:12/50, batch_idx_tr:293/293, running_loss_tr:1.40, train acc:46.01%
