[Fri Feb 13 15:06:58 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Fri Feb 13 15:19:45 2026] [Train] epo:1/50, batch_idx_tr:293/293, running_loss_tr:1.68, train acc:36.60%
[Fri Feb 13 15:29:39 2026] [Test] epo:1/50, batch_idx_tr:293/293, WAR_te:44.21%, UAR_te:32.23%
[Fri Feb 13 15:40:08 2026] [Train] epo:2/50, batch_idx_tr:293/293, running_loss_tr:1.34, train acc:49.32%
[Fri Feb 13 15:44:44 2026] [Test] epo:2/50, batch_idx_tr:293/293, WAR_te:52.03%, UAR_te:39.20%
[Fri Feb 13 15:52:05 2026] [Train] epo:3/50, batch_idx_tr:293/293, running_loss_tr:1.30, train acc:51.97%
[Fri Feb 13 15:56:41 2026] [Test] epo:3/50, batch_idx_tr:293/293, WAR_te:50.92%, UAR_te:38.27%
[Fri Feb 13 16:07:09 2026] [Train] epo:4/50, batch_idx_tr:293/293, running_loss_tr:1.20, train acc:55.56%
[Fri Feb 13 16:13:40 2026] [Test] epo:4/50, batch_idx_tr:293/293, WAR_te:51.09%, UAR_te:37.25%
[Fri Feb 13 16:24:07 2026] [Train] epo:5/50, batch_idx_tr:293/293, running_loss_tr:1.14, train acc:57.42%
[Fri Feb 13 16:30:38 2026] [Test] epo:5/50, batch_idx_tr:293/293, WAR_te:54.63%, UAR_te:42.95%
[Fri Feb 13 16:41:01 2026] [Train] epo:6/50, batch_idx_tr:293/293, running_loss_tr:1.09, train acc:58.90%
[Fri Feb 13 16:47:33 2026] [Test] epo:6/50, batch_idx_tr:293/293, WAR_te:57.45%, UAR_te:47.07%
[Fri Feb 13 16:58:03 2026] [Train] epo:7/50, batch_idx_tr:293/293, running_loss_tr:1.06, train acc:61.16%
[Fri Feb 13 17:04:35 2026] [Test] epo:7/50, batch_idx_tr:293/293, WAR_te:59.42%, UAR_te:45.93%
[Fri Feb 13 17:13:56 2026] [Train] epo:8/50, batch_idx_tr:293/293, running_loss_tr:1.03, train acc:61.18%
[Fri Feb 13 17:18:32 2026] [Test] epo:8/50, batch_idx_tr:293/293, WAR_te:50.19%, UAR_te:36.23%
[Fri Feb 13 17:25:54 2026] [Train] epo:9/50, batch_idx_tr:293/293, running_loss_tr:1.02, train acc:62.08%
[Fri Feb 13 17:31:29 2026] [Test] epo:9/50, batch_idx_tr:293/293, WAR_te:58.05%, UAR_te:45.35%
[Fri Feb 13 17:41:58 2026] [Train] epo:10/50, batch_idx_tr:293/293, running_loss_tr:0.99, train acc:62.91%
[Fri Feb 13 17:48:25 2026] [Test] epo:10/50, batch_idx_tr:293/293, WAR_te:53.40%, UAR_te:39.53%
[Fri Feb 13 17:58:54 2026] [Train] epo:11/50, batch_idx_tr:293/293, running_loss_tr:0.96, train acc:64.34%
[Fri Feb 13 18:05:21 2026] [Test] epo:11/50, batch_idx_tr:293/293, WAR_te:53.57%, UAR_te:40.99%
[Fri Feb 13 18:15:44 2026] [Train] epo:12/50, batch_idx_tr:293/293, running_loss_tr:0.95, train acc:64.26%
[Fri Feb 13 18:22:15 2026] [Test] epo:12/50, batch_idx_tr:293/293, WAR_te:55.62%, UAR_te:46.20%
[Fri Feb 13 18:32:36 2026] [Train] epo:13/50, batch_idx_tr:293/293, running_loss_tr:0.92, train acc:65.78%
