[Sat Feb 14 13:22:45 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Sat Feb 14 13:31:48 2026] [Train] epo:1/50, batch_idx_tr:293/293, running_loss_tr:1.68, train acc:36.71%
[Sat Feb 14 13:37:00 2026] [Test] epo:1/50, batch_idx_tr:293/293, WAR_te:48.42%, UAR_te:41.08%
[Sat Feb 14 13:42:44 2026] [Train] epo:2/50, batch_idx_tr:293/293, running_loss_tr:1.37, train acc:48.78%
[Sat Feb 14 13:46:58 2026] [Test] epo:2/50, batch_idx_tr:293/293, WAR_te:50.73%, UAR_te:39.62%
[Sat Feb 14 13:54:58 2026] [Train] epo:3/50, batch_idx_tr:293/293, running_loss_tr:1.28, train acc:52.26%
[Sat Feb 14 13:59:35 2026] [Test] epo:3/50, batch_idx_tr:293/293, WAR_te:50.26%, UAR_te:42.41%
[Sat Feb 14 14:07:33 2026] [Train] epo:4/50, batch_idx_tr:293/293, running_loss_tr:1.20, train acc:54.91%
[Sat Feb 14 14:12:10 2026] [Test] epo:4/50, batch_idx_tr:293/293, WAR_te:53.46%, UAR_te:44.25%
[Sat Feb 14 14:20:07 2026] [Train] epo:5/50, batch_idx_tr:293/293, running_loss_tr:1.15, train acc:56.77%
[Sat Feb 14 14:24:47 2026] [Test] epo:5/50, batch_idx_tr:293/293, WAR_te:50.38%, UAR_te:43.34%
[Sat Feb 14 14:32:49 2026] [Train] epo:6/50, batch_idx_tr:293/293, running_loss_tr:1.13, train acc:57.56%
[Sat Feb 14 14:37:21 2026] [Test] epo:6/50, batch_idx_tr:293/293, WAR_te:59.62%, UAR_te:48.26%
[Sat Feb 14 14:45:27 2026] [Train] epo:7/50, batch_idx_tr:293/293, running_loss_tr:1.09, train acc:59.93%
[Sat Feb 14 14:50:05 2026] [Test] epo:7/50, batch_idx_tr:293/293, WAR_te:51.28%, UAR_te:39.92%
[Sat Feb 14 14:56:42 2026] [Train] epo:8/50, batch_idx_tr:293/293, running_loss_tr:1.05, train acc:61.29%
[Sat Feb 14 15:00:01 2026] [Test] epo:8/50, batch_idx_tr:293/293, WAR_te:58.85%, UAR_te:45.55%
[Sat Feb 14 15:05:46 2026] [Train] epo:9/50, batch_idx_tr:293/293, running_loss_tr:1.04, train acc:61.48%
[Sat Feb 14 15:09:43 2026] [Test] epo:9/50, batch_idx_tr:293/293, WAR_te:55.47%, UAR_te:42.47%
[Sat Feb 14 15:17:50 2026] [Train] epo:10/50, batch_idx_tr:293/293, running_loss_tr:1.01, train acc:62.56%
[Sat Feb 14 15:22:30 2026] [Test] epo:10/50, batch_idx_tr:293/293, WAR_te:54.15%, UAR_te:39.13%
[Sat Feb 14 15:30:27 2026] [Train] epo:11/50, batch_idx_tr:293/293, running_loss_tr:0.99, train acc:63.33%
[Sat Feb 14 15:35:01 2026] [Test] epo:11/50, batch_idx_tr:293/293, WAR_te:53.72%, UAR_te:44.06%
[Sat Feb 14 15:42:51 2026] [Train] epo:12/50, batch_idx_tr:293/293, running_loss_tr:0.97, train acc:63.67%
[Sat Feb 14 15:47:29 2026] [Test] epo:12/50, batch_idx_tr:293/293, WAR_te:59.83%, UAR_te:48.10%
[Sat Feb 14 15:55:32 2026] [Train] epo:13/50, batch_idx_tr:293/293, running_loss_tr:0.96, train acc:64.10%
[Sat Feb 14 16:00:07 2026] [Test] epo:13/50, batch_idx_tr:293/293, WAR_te:62.01%, UAR_te:50.39%
[Sat Feb 14 16:08:13 2026] [Train] epo:14/50, batch_idx_tr:293/293, running_loss_tr:0.94, train acc:65.28%
[Sat Feb 14 16:12:54 2026] [Test] epo:14/50, batch_idx_tr:293/293, WAR_te:59.02%, UAR_te:47.06%
[Sat Feb 14 16:19:44 2026] [Train] epo:15/50, batch_idx_tr:293/293, running_loss_tr:0.92, train acc:65.35%
[Sat Feb 14 16:23:05 2026] [Test] epo:15/50, batch_idx_tr:293/293, WAR_te:61.67%, UAR_te:51.03%
[Sat Feb 14 16:28:50 2026] [Train] epo:16/50, batch_idx_tr:293/293, running_loss_tr:0.91, train acc:66.03%
[Sat Feb 14 16:32:44 2026] [Test] epo:16/50, batch_idx_tr:293/293, WAR_te:62.01%, UAR_te:48.32%
[Sat Feb 14 16:40:49 2026] [Train] epo:17/50, batch_idx_tr:293/293, running_loss_tr:0.89, train acc:66.87%
[Sat Feb 14 16:45:26 2026] [Test] epo:17/50, batch_idx_tr:293/293, WAR_te:57.22%, UAR_te:46.34%
[Sat Feb 14 16:53:25 2026] [Train] epo:18/50, batch_idx_tr:293/293, running_loss_tr:0.86, train acc:67.37%
[Sat Feb 14 16:58:03 2026] [Test] epo:18/50, batch_idx_tr:293/293, WAR_te:61.84%, UAR_te:51.40%
[Sat Feb 14 17:06:03 2026] [Train] epo:19/50, batch_idx_tr:293/293, running_loss_tr:0.86, train acc:68.36%
[Sat Feb 14 17:10:40 2026] [Test] epo:19/50, batch_idx_tr:293/293, WAR_te:60.43%, UAR_te:48.04%
[Sat Feb 14 17:18:42 2026] [Train] epo:20/50, batch_idx_tr:293/293, running_loss_tr:0.85, train acc:68.33%
