[Sun Feb 15 00:36:09 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Sun Feb 15 00:42:45 2026] [Train] epo:1/50, batch_idx_tr:293/293, running_loss_tr:1.64, train acc:37.84%
[Sun Feb 15 00:48:30 2026] [Test] epo:1/50, batch_idx_tr:293/293, WAR_te:49.21%, UAR_te:36.63%
[Sun Feb 15 00:55:42 2026] [Train] epo:2/50, batch_idx_tr:293/293, running_loss_tr:1.34, train acc:48.64%
[Sun Feb 15 01:00:10 2026] [Test] epo:2/50, batch_idx_tr:293/293, WAR_te:50.75%, UAR_te:37.60%
[Sun Feb 15 01:07:19 2026] [Train] epo:3/50, batch_idx_tr:293/293, running_loss_tr:1.26, train acc:52.63%
[Sun Feb 15 01:11:45 2026] [Test] epo:3/50, batch_idx_tr:293/293, WAR_te:52.12%, UAR_te:43.01%
[Sun Feb 15 01:18:50 2026] [Train] epo:4/50, batch_idx_tr:293/293, running_loss_tr:1.21, train acc:54.38%
[Sun Feb 15 01:23:19 2026] [Test] epo:4/50, batch_idx_tr:293/293, WAR_te:54.00%, UAR_te:43.66%
[Sun Feb 15 01:30:25 2026] [Train] epo:5/50, batch_idx_tr:293/293, running_loss_tr:1.13, train acc:58.14%
[Sun Feb 15 01:34:52 2026] [Test] epo:5/50, batch_idx_tr:293/293, WAR_te:53.53%, UAR_te:43.61%
[Sun Feb 15 01:42:03 2026] [Train] epo:6/50, batch_idx_tr:293/293, running_loss_tr:1.10, train acc:59.14%
[Sun Feb 15 01:45:18 2026] [Test] epo:6/50, batch_idx_tr:293/293, WAR_te:55.75%, UAR_te:46.18%
[Sun Feb 15 01:48:38 2026] [Train] epo:7/50, batch_idx_tr:293/293, running_loss_tr:1.06, train acc:60.41%
[Sun Feb 15 01:50:46 2026] [Test] epo:7/50, batch_idx_tr:293/293, WAR_te:57.89%, UAR_te:46.65%
[Sun Feb 15 01:54:06 2026] [Train] epo:8/50, batch_idx_tr:293/293, running_loss_tr:1.05, train acc:61.09%
[Sun Feb 15 01:56:13 2026] [Test] epo:8/50, batch_idx_tr:293/293, WAR_te:56.31%, UAR_te:42.94%
[Sun Feb 15 01:59:32 2026] [Train] epo:9/50, batch_idx_tr:293/293, running_loss_tr:1.02, train acc:61.89%
