[Wed Jun 10 02:37:10 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 1: [ 0.683  0.882  0.626  0.769  1.138 11.522  1.854]
[Wed Jun 10 02:37:10 2026] 
=======================================================
[Wed Jun 10 02:37:10 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Wed Jun 10 02:37:10 2026] Μοντέλο    : timesformer
[Wed Jun 10 02:37:10 2026] Optimizer  : Adam (LR: 0.0001)
[Wed Jun 10 02:37:10 2026] Scheduler  : StepLR
[Wed Jun 10 02:37:10 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Wed Jun 10 02:37:10 2026] =======================================================

[Wed Jun 10 03:16:10 2026] [Train] epo:1/25, batch_idx_tr:2339/2339, running_loss_tr:1.58, train acc:40.47%
[Wed Jun 10 03:47:13 2026] [Test] epo:1/25, batch_idx_tr:2339/2339, WAR_te:50.45%, UAR_te:41.05%
[Wed Jun 10 04:25:40 2026] [Train] epo:2/25, batch_idx_tr:2339/2339, running_loss_tr:1.30, train acc:53.40%
[Wed Jun 10 04:56:36 2026] [Test] epo:2/25, batch_idx_tr:2339/2339, WAR_te:57.67%, UAR_te:49.72%
[Wed Jun 10 05:35:04 2026] [Train] epo:3/25, batch_idx_tr:2339/2339, running_loss_tr:1.19, train acc:58.13%
[Wed Jun 10 06:05:56 2026] [Test] epo:3/25, batch_idx_tr:2339/2339, WAR_te:54.68%, UAR_te:45.69%
[Wed Jun 10 06:44:24 2026] [Train] epo:4/25, batch_idx_tr:2339/2339, running_loss_tr:1.12, train acc:60.94%
[Wed Jun 10 07:15:18 2026] [Test] epo:4/25, batch_idx_tr:2339/2339, WAR_te:61.68%, UAR_te:49.19%
[Wed Jun 10 07:53:58 2026] [Train] epo:5/25, batch_idx_tr:2339/2339, running_loss_tr:1.13, train acc:59.53%
[Wed Jun 10 08:24:56 2026] [Test] epo:5/25, batch_idx_tr:2339/2339, WAR_te:56.17%, UAR_te:50.64%
[Wed Jun 10 09:03:38 2026] [Train] epo:6/25, batch_idx_tr:2339/2339, running_loss_tr:1.01, train acc:64.33%
[Wed Jun 10 09:34:33 2026] [Test] epo:6/25, batch_idx_tr:2339/2339, WAR_te:59.55%, UAR_te:49.33%
[Wed Jun 10 10:13:11 2026] [Train] epo:7/25, batch_idx_tr:2339/2339, running_loss_tr:0.96, train acc:66.27%
[Wed Jun 10 10:44:07 2026] [Test] epo:7/25, batch_idx_tr:2339/2339, WAR_te:57.28%, UAR_te:49.82%
[Wed Jun 10 11:22:43 2026] [Train] epo:8/25, batch_idx_tr:2339/2339, running_loss_tr:0.89, train acc:67.51%
[Wed Jun 10 11:53:39 2026] [Test] epo:8/25, batch_idx_tr:2339/2339, WAR_te:55.79%, UAR_te:46.06%
[Wed Jun 10 12:32:11 2026] [Train] epo:9/25, batch_idx_tr:2339/2339, running_loss_tr:0.86, train acc:69.09%
[Wed Jun 10 13:03:06 2026] [Test] epo:9/25, batch_idx_tr:2339/2339, WAR_te:61.55%, UAR_te:49.35%
[Wed Jun 10 13:41:38 2026] [Train] epo:10/25, batch_idx_tr:2339/2339, running_loss_tr:0.77, train acc:71.87%
[Wed Jun 10 14:12:34 2026] [Test] epo:10/25, batch_idx_tr:2339/2339, WAR_te:52.33%, UAR_te:44.99%
[Wed Jun 10 14:52:53 2026] [Train] epo:11/25, batch_idx_tr:2339/2339, running_loss_tr:0.73, train acc:73.65%
[Wed Jun 10 15:23:55 2026] [Test] epo:11/25, batch_idx_tr:2339/2339, WAR_te:61.30%, UAR_te:50.68%
[Wed Jun 10 16:02:39 2026] [Train] epo:12/25, batch_idx_tr:2339/2339, running_loss_tr:0.71, train acc:74.35%
[Wed Jun 10 16:33:34 2026] [Test] epo:12/25, batch_idx_tr:2339/2339, WAR_te:61.30%, UAR_te:50.16%
[Wed Jun 10 17:12:04 2026] [Train] epo:13/25, batch_idx_tr:2339/2339, running_loss_tr:0.64, train acc:76.62%
[Wed Jun 10 17:43:03 2026] [Test] epo:13/25, batch_idx_tr:2339/2339, WAR_te:53.05%, UAR_te:45.21%
[Wed Jun 10 18:21:43 2026] [Train] epo:14/25, batch_idx_tr:2339/2339, running_loss_tr:0.61, train acc:77.16%
[Wed Jun 10 18:52:40 2026] [Test] epo:14/25, batch_idx_tr:2339/2339, WAR_te:55.79%, UAR_te:46.95%
[Wed Jun 10 19:31:09 2026] [Train] epo:15/25, batch_idx_tr:2339/2339, running_loss_tr:0.54, train acc:79.85%
[Wed Jun 10 20:02:04 2026] [Test] epo:15/25, batch_idx_tr:2339/2339, WAR_te:55.36%, UAR_te:47.38%
[Wed Jun 10 20:40:34 2026] [Train] epo:16/25, batch_idx_tr:2339/2339, running_loss_tr:0.49, train acc:81.65%
[Wed Jun 10 21:11:39 2026] [Test] epo:16/25, batch_idx_tr:2339/2339, WAR_te:58.27%, UAR_te:49.64%
[Wed Jun 10 21:51:40 2026] [Train] epo:17/25, batch_idx_tr:2339/2339, running_loss_tr:0.46, train acc:82.94%
[Wed Jun 10 22:22:37 2026] [Test] epo:17/25, batch_idx_tr:2339/2339, WAR_te:59.85%, UAR_te:47.66%
[Wed Jun 10 23:01:07 2026] [Train] epo:18/25, batch_idx_tr:2339/2339, running_loss_tr:0.41, train acc:84.41%
[Wed Jun 10 23:32:03 2026] [Test] epo:18/25, batch_idx_tr:2339/2339, WAR_te:59.97%, UAR_te:46.46%
[Thu Jun 11 00:10:31 2026] [Train] epo:19/25, batch_idx_tr:2339/2339, running_loss_tr:0.38, train acc:86.20%
[Thu Jun 11 00:41:26 2026] [Test] epo:19/25, batch_idx_tr:2339/2339, WAR_te:58.05%, UAR_te:47.16%
[Thu Jun 11 01:19:54 2026] [Train] epo:20/25, batch_idx_tr:2339/2339, running_loss_tr:0.34, train acc:87.52%
[Thu Jun 11 01:50:47 2026] [Test] epo:20/25, batch_idx_tr:2339/2339, WAR_te:57.62%, UAR_te:46.89%
[Thu Jun 11 02:29:15 2026] [Train] epo:21/25, batch_idx_tr:2339/2339, running_loss_tr:0.35, train acc:87.61%
[Thu Jun 11 03:00:08 2026] [Test] epo:21/25, batch_idx_tr:2339/2339, WAR_te:57.37%, UAR_te:47.75%
[Thu Jun 11 03:38:36 2026] [Train] epo:22/25, batch_idx_tr:2339/2339, running_loss_tr:0.33, train acc:88.05%
[Thu Jun 11 04:09:31 2026] [Test] epo:22/25, batch_idx_tr:2339/2339, WAR_te:58.48%, UAR_te:45.69%
[Thu Jun 11 04:47:59 2026] [Train] epo:23/25, batch_idx_tr:2339/2339, running_loss_tr:0.28, train acc:89.46%
[Thu Jun 11 05:18:56 2026] [Test] epo:23/25, batch_idx_tr:2339/2339, WAR_te:61.00%, UAR_te:51.08%
[Thu Jun 11 05:57:24 2026] [Train] epo:24/25, batch_idx_tr:2339/2339, running_loss_tr:0.28, train acc:89.94%
[Thu Jun 11 06:28:18 2026] [Test] epo:24/25, batch_idx_tr:2339/2339, WAR_te:56.69%, UAR_te:48.53%
[Thu Jun 11 07:06:52 2026] [Train] epo:25/25, batch_idx_tr:2339/2339, running_loss_tr:0.26, train acc:90.37%
[Thu Jun 11 07:37:49 2026] [Test] epo:25/25, batch_idx_tr:2339/2339, WAR_te:60.49%, UAR_te:48.41%
