[Thu May 28 17:21:23 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 3: [ 0.683  0.882  0.626  0.769  1.138 11.523  1.851]
[Thu May 28 17:21:23 2026] 
=======================================================
[Thu May 28 17:21:23 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Thu May 28 17:21:23 2026] Μοντέλο    : timesformer
[Thu May 28 17:21:23 2026] Optimizer  : Adam (LR: 0.0001)
[Thu May 28 17:21:23 2026] Scheduler  : StepLR
[Thu May 28 17:21:23 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Thu May 28 17:21:23 2026] =======================================================

[Thu May 28 18:00:31 2026] [Train] epo:1/25, batch_idx_tr:2340/2340, running_loss_tr:1.62, train acc:39.57%
[Thu May 28 18:31:33 2026] [Test] epo:1/25, batch_idx_tr:2340/2340, WAR_te:45.73%, UAR_te:34.09%
[Thu May 28 19:10:03 2026] [Train] epo:2/25, batch_idx_tr:2340/2340, running_loss_tr:1.41, train acc:49.03%
[Thu May 28 19:40:56 2026] [Test] epo:2/25, batch_idx_tr:2340/2340, WAR_te:46.32%, UAR_te:40.46%
[Thu May 28 20:19:24 2026] [Train] epo:3/25, batch_idx_tr:2340/2340, running_loss_tr:1.28, train acc:54.08%
[Thu May 28 20:50:20 2026] [Test] epo:3/25, batch_idx_tr:2340/2340, WAR_te:56.58%, UAR_te:46.76%
[Thu May 28 21:28:48 2026] [Train] epo:4/25, batch_idx_tr:2340/2340, running_loss_tr:1.21, train acc:56.43%
[Thu May 28 21:59:41 2026] [Test] epo:4/25, batch_idx_tr:2340/2340, WAR_te:47.31%, UAR_te:38.48%
[Thu May 28 22:38:09 2026] [Train] epo:5/25, batch_idx_tr:2340/2340, running_loss_tr:1.17, train acc:58.35%
[Thu May 28 23:09:05 2026] [Test] epo:5/25, batch_idx_tr:2340/2340, WAR_te:52.86%, UAR_te:47.24%
[Thu May 28 23:47:31 2026] [Train] epo:6/25, batch_idx_tr:2340/2340, running_loss_tr:1.09, train acc:60.90%
[Fri May 29 00:18:23 2026] [Test] epo:6/25, batch_idx_tr:2340/2340, WAR_te:47.78%, UAR_te:39.38%
[Fri May 29 00:56:50 2026] [Train] epo:7/25, batch_idx_tr:2340/2340, running_loss_tr:1.07, train acc:61.32%
[Fri May 29 01:27:47 2026] [Test] epo:7/25, batch_idx_tr:2340/2340, WAR_te:53.76%, UAR_te:47.47%
[Fri May 29 02:06:14 2026] [Train] epo:8/25, batch_idx_tr:2340/2340, running_loss_tr:1.00, train acc:64.06%
[Fri May 29 02:37:07 2026] [Test] epo:8/25, batch_idx_tr:2340/2340, WAR_te:47.82%, UAR_te:39.67%
[Fri May 29 03:15:35 2026] [Train] epo:9/25, batch_idx_tr:2340/2340, running_loss_tr:0.94, train acc:66.86%
[Fri May 29 03:46:32 2026] [Test] epo:9/25, batch_idx_tr:2340/2340, WAR_te:60.17%, UAR_te:52.45%
[Fri May 29 04:25:00 2026] [Train] epo:10/25, batch_idx_tr:2340/2340, running_loss_tr:1.12, train acc:57.76%
[Fri May 29 04:55:54 2026] [Test] epo:10/25, batch_idx_tr:2340/2340, WAR_te:57.78%, UAR_te:50.24%
[Fri May 29 05:34:23 2026] [Train] epo:11/25, batch_idx_tr:2340/2340, running_loss_tr:0.86, train acc:68.88%
[Fri May 29 06:05:17 2026] [Test] epo:11/25, batch_idx_tr:2340/2340, WAR_te:55.21%, UAR_te:49.21%
[Fri May 29 06:43:46 2026] [Train] epo:12/25, batch_idx_tr:2340/2340, running_loss_tr:0.82, train acc:70.28%
[Fri May 29 07:14:44 2026] [Test] epo:12/25, batch_idx_tr:2340/2340, WAR_te:59.06%, UAR_te:53.14%
[Fri May 29 07:53:23 2026] [Train] epo:13/25, batch_idx_tr:2340/2340, running_loss_tr:0.77, train acc:71.40%
[Fri May 29 08:24:22 2026] [Test] epo:13/25, batch_idx_tr:2340/2340, WAR_te:61.37%, UAR_te:50.05%
[Fri May 29 09:02:59 2026] [Train] epo:14/25, batch_idx_tr:2340/2340, running_loss_tr:0.73, train acc:73.43%
[Fri May 29 09:33:56 2026] [Test] epo:14/25, batch_idx_tr:2340/2340, WAR_te:60.68%, UAR_te:52.87%
