[Sat May 30 15:30:11 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 4: [ 0.683  0.882  0.626  0.769  1.138 11.525  1.852]
[Sat May 30 15:30:12 2026] 
=======================================================
[Sat May 30 15:30:12 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Sat May 30 15:30:12 2026] Μοντέλο    : timesformer
[Sat May 30 15:30:12 2026] Optimizer  : Adam (LR: 0.0001)
[Sat May 30 15:30:12 2026] Scheduler  : StepLR
[Sat May 30 15:30:12 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Sat May 30 15:30:12 2026] =======================================================

[Sat May 30 16:09:28 2026] [Train] epo:1/25, batch_idx_tr:2340/2340, running_loss_tr:1.64, train acc:36.75%
[Sat May 30 16:40:32 2026] [Test] epo:1/25, batch_idx_tr:2340/2340, WAR_te:50.71%, UAR_te:39.66%
[Sat May 30 17:18:59 2026] [Train] epo:2/25, batch_idx_tr:2340/2340, running_loss_tr:1.38, train acc:50.41%
[Sat May 30 17:49:55 2026] [Test] epo:2/25, batch_idx_tr:2340/2340, WAR_te:55.45%, UAR_te:41.50%
[Sat May 30 18:28:22 2026] [Train] epo:3/25, batch_idx_tr:2340/2340, running_loss_tr:1.35, train acc:51.81%
[Sat May 30 18:59:14 2026] [Test] epo:3/25, batch_idx_tr:2340/2340, WAR_te:34.84%, UAR_te:27.23%
[Sat May 30 19:37:43 2026] [Train] epo:4/25, batch_idx_tr:2340/2340, running_loss_tr:1.33, train acc:52.03%
[Sat May 30 20:08:40 2026] [Test] epo:4/25, batch_idx_tr:2340/2340, WAR_te:58.49%, UAR_te:48.21%
[Sat May 30 20:47:07 2026] [Train] epo:5/25, batch_idx_tr:2340/2340, running_loss_tr:1.20, train acc:57.33%
[Sat May 30 21:18:03 2026] [Test] epo:5/25, batch_idx_tr:2340/2340, WAR_te:56.69%, UAR_te:48.63%
[Sat May 30 21:56:33 2026] [Train] epo:6/25, batch_idx_tr:2340/2340, running_loss_tr:1.10, train acc:60.96%
[Sat May 30 22:27:40 2026] [Test] epo:6/25, batch_idx_tr:2340/2340, WAR_te:60.97%, UAR_te:50.74%
[Sat May 30 23:07:30 2026] [Train] epo:7/25, batch_idx_tr:2340/2340, running_loss_tr:1.06, train acc:62.64%
[Sat May 30 23:38:24 2026] [Test] epo:7/25, batch_idx_tr:2340/2340, WAR_te:60.80%, UAR_te:48.95%
[Sun May 31 00:17:16 2026] [Train] epo:8/25, batch_idx_tr:2340/2340, running_loss_tr:0.98, train acc:64.92%
