[Sun May 31 21:58:12 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 5: [ 0.684  0.882  0.626  0.769  1.137 11.528  1.852]
[Sun May 31 21:58:12 2026] 
=======================================================
[Sun May 31 21:58:12 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Sun May 31 21:58:12 2026] Μοντέλο    : timesformer
[Sun May 31 21:58:12 2026] Optimizer  : Adam (LR: 0.0001)
[Sun May 31 21:58:12 2026] Scheduler  : StepLR
[Sun May 31 21:58:12 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Sun May 31 21:58:12 2026] =======================================================

[Sun May 31 22:37:23 2026] [Train] epo:1/25, batch_idx_tr:2341/2341, running_loss_tr:1.89, train acc:19.35%
[Sun May 31 23:08:14 2026] [Test] epo:1/25, batch_idx_tr:2341/2341, WAR_te:23.29%, UAR_te:14.75%
[Sun May 31 23:46:42 2026] [Train] epo:2/25, batch_idx_tr:2341/2341, running_loss_tr:1.86, train acc:22.70%
[Mon Jun  1 00:17:30 2026] [Test] epo:2/25, batch_idx_tr:2341/2341, WAR_te:20.76%, UAR_te:17.42%
[Mon Jun  1 00:55:58 2026] [Train] epo:3/25, batch_idx_tr:2341/2341, running_loss_tr:1.80, train acc:27.96%
[Mon Jun  1 01:26:49 2026] [Test] epo:3/25, batch_idx_tr:2341/2341, WAR_te:33.48%, UAR_te:28.75%
[Mon Jun  1 02:05:18 2026] [Train] epo:4/25, batch_idx_tr:2341/2341, running_loss_tr:1.63, train acc:37.18%
[Mon Jun  1 02:36:10 2026] [Test] epo:4/25, batch_idx_tr:2341/2341, WAR_te:39.04%, UAR_te:30.77%
[Mon Jun  1 03:14:40 2026] [Train] epo:5/25, batch_idx_tr:2341/2341, running_loss_tr:1.76, train acc:29.41%
[Mon Jun  1 03:45:26 2026] [Test] epo:5/25, batch_idx_tr:2341/2341, WAR_te:14.34%, UAR_te:15.49%
[Mon Jun  1 04:23:55 2026] [Train] epo:6/25, batch_idx_tr:2341/2341, running_loss_tr:1.75, train acc:31.28%
[Mon Jun  1 04:54:48 2026] [Test] epo:6/25, batch_idx_tr:2341/2341, WAR_te:44.43%, UAR_te:33.20%
[Mon Jun  1 05:33:17 2026] [Train] epo:7/25, batch_idx_tr:2341/2341, running_loss_tr:1.53, train acc:43.14%
[Mon Jun  1 06:04:10 2026] [Test] epo:7/25, batch_idx_tr:2341/2341, WAR_te:42.08%, UAR_te:33.97%
[Mon Jun  1 06:42:39 2026] [Train] epo:8/25, batch_idx_tr:2341/2341, running_loss_tr:1.47, train acc:45.74%
[Mon Jun  1 07:13:30 2026] [Test] epo:8/25, batch_idx_tr:2341/2341, WAR_te:43.07%, UAR_te:37.69%
[Mon Jun  1 07:52:11 2026] [Train] epo:9/25, batch_idx_tr:2341/2341, running_loss_tr:1.38, train acc:49.99%
[Mon Jun  1 08:23:05 2026] [Test] epo:9/25, batch_idx_tr:2341/2341, WAR_te:49.66%, UAR_te:41.59%
[Mon Jun  1 09:01:46 2026] [Train] epo:10/25, batch_idx_tr:2341/2341, running_loss_tr:1.32, train acc:52.37%
[Mon Jun  1 09:32:40 2026] [Test] epo:10/25, batch_idx_tr:2341/2341, WAR_te:49.87%, UAR_te:43.23%
[Mon Jun  1 10:11:25 2026] [Train] epo:11/25, batch_idx_tr:2341/2341, running_loss_tr:1.28, train acc:53.85%
[Mon Jun  1 10:42:17 2026] [Test] epo:11/25, batch_idx_tr:2341/2341, WAR_te:53.94%, UAR_te:41.99%
[Mon Jun  1 11:21:01 2026] [Train] epo:12/25, batch_idx_tr:2341/2341, running_loss_tr:1.23, train acc:55.77%
