[Mon May 25 12:38:39 2026] 
=======================================================
[Mon May 25 12:38:39 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Mon May 25 12:38:39 2026] Μοντέλο    : videomae
[Mon May 25 12:38:39 2026] Optimizer  : Adam (LR: 1e-05)
[Mon May 25 12:38:39 2026] Scheduler  : StepLR
[Mon May 25 12:38:39 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Mon May 25 12:38:39 2026] =======================================================

[Mon May 25 13:02:22 2026] [Train] epo:1/25, batch_idx_tr:1170/1170, running_loss_tr:1.56, train acc:43.29%
[Mon May 25 13:15:29 2026] [Test] epo:1/25, batch_idx_tr:1170/1170, WAR_te:46.77%, UAR_te:35.49%
[Mon May 25 13:34:20 2026] [Train] epo:2/25, batch_idx_tr:1170/1170, running_loss_tr:1.27, train acc:54.83%
[Mon May 25 13:47:08 2026] [Test] epo:2/25, batch_idx_tr:1170/1170, WAR_te:54.38%, UAR_te:43.99%
[Mon May 25 14:05:53 2026] [Train] epo:3/25, batch_idx_tr:1170/1170, running_loss_tr:1.16, train acc:58.67%
[Mon May 25 14:18:43 2026] [Test] epo:3/25, batch_idx_tr:1170/1170, WAR_te:61.17%, UAR_te:49.31%
[Mon May 25 14:37:35 2026] [Train] epo:4/25, batch_idx_tr:1170/1170, running_loss_tr:1.05, train acc:62.41%
[Mon May 25 14:50:24 2026] [Test] epo:4/25, batch_idx_tr:1170/1170, WAR_te:57.45%, UAR_te:47.30%
[Mon May 25 15:09:18 2026] [Train] epo:5/25, batch_idx_tr:1170/1170, running_loss_tr:0.96, train acc:65.34%
[Mon May 25 15:22:11 2026] [Test] epo:5/25, batch_idx_tr:1170/1170, WAR_te:60.79%, UAR_te:50.15%
[Mon May 25 15:40:51 2026] [Train] epo:6/25, batch_idx_tr:1170/1170, running_loss_tr:0.88, train acc:67.29%
[Mon May 25 15:53:37 2026] [Test] epo:6/25, batch_idx_tr:1170/1170, WAR_te:58.56%, UAR_te:49.41%
[Mon May 25 16:12:15 2026] [Train] epo:7/25, batch_idx_tr:1170/1170, running_loss_tr:0.82, train acc:70.12%
