[Fri Jun  5 00:50:45 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 2: [ 0.683  0.882  0.626  0.769  1.138 11.522  1.854]
[Fri Jun  5 00:50:45 2026] 
=======================================================
[Fri Jun  5 00:50:45 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Fri Jun  5 00:50:45 2026] Μοντέλο    : videomae
[Fri Jun  5 00:50:45 2026] Optimizer  : Adam (LR: 1e-05)
[Fri Jun  5 00:50:45 2026] Scheduler  : StepLR
[Fri Jun  5 00:50:45 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Fri Jun  5 00:50:45 2026] =======================================================

[Fri Jun  5 01:14:28 2026] [Train] epo:1/25, batch_idx_tr:1170/1170, running_loss_tr:1.62, train acc:40.57%
[Fri Jun  5 01:27:32 2026] [Test] epo:1/25, batch_idx_tr:1170/1170, WAR_te:43.23%, UAR_te:38.74%
[Fri Jun  5 01:46:09 2026] [Train] epo:2/25, batch_idx_tr:1170/1170, running_loss_tr:1.28, train acc:54.20%
[Fri Jun  5 01:58:55 2026] [Test] epo:2/25, batch_idx_tr:1170/1170, WAR_te:51.47%, UAR_te:44.47%
[Fri Jun  5 02:17:32 2026] [Train] epo:3/25, batch_idx_tr:1170/1170, running_loss_tr:1.15, train acc:59.60%
[Fri Jun  5 02:30:16 2026] [Test] epo:3/25, batch_idx_tr:1170/1170, WAR_te:42.63%, UAR_te:46.80%
[Fri Jun  5 02:48:54 2026] [Train] epo:4/25, batch_idx_tr:1170/1170, running_loss_tr:1.05, train acc:62.77%
[Fri Jun  5 03:01:38 2026] [Test] epo:4/25, batch_idx_tr:1170/1170, WAR_te:56.26%, UAR_te:44.73%
[Fri Jun  5 03:20:15 2026] [Train] epo:5/25, batch_idx_tr:1170/1170, running_loss_tr:0.95, train acc:65.53%
[Fri Jun  5 03:33:03 2026] [Test] epo:5/25, batch_idx_tr:1170/1170, WAR_te:51.05%, UAR_te:49.69%
[Fri Jun  5 03:51:40 2026] [Train] epo:6/25, batch_idx_tr:1170/1170, running_loss_tr:0.87, train acc:68.44%
[Fri Jun  5 04:04:26 2026] [Test] epo:6/25, batch_idx_tr:1170/1170, WAR_te:57.62%, UAR_te:49.76%
[Fri Jun  5 04:23:03 2026] [Train] epo:7/25, batch_idx_tr:1170/1170, running_loss_tr:0.77, train acc:71.73%
[Fri Jun  5 04:35:48 2026] [Test] epo:7/25, batch_idx_tr:1170/1170, WAR_te:57.54%, UAR_te:49.57%
[Fri Jun  5 04:54:26 2026] [Train] epo:8/25, batch_idx_tr:1170/1170, running_loss_tr:0.68, train acc:74.13%
[Fri Jun  5 05:07:10 2026] [Test] epo:8/25, batch_idx_tr:1170/1170, WAR_te:56.00%, UAR_te:49.23%
[Fri Jun  5 05:25:48 2026] [Train] epo:9/25, batch_idx_tr:1170/1170, running_loss_tr:0.61, train acc:76.64%
[Fri Jun  5 05:38:33 2026] [Test] epo:9/25, batch_idx_tr:1170/1170, WAR_te:61.17%, UAR_te:48.54%
[Fri Jun  5 05:57:11 2026] [Train] epo:10/25, batch_idx_tr:1170/1170, running_loss_tr:0.53, train acc:79.61%
[Fri Jun  5 06:09:56 2026] [Test] epo:10/25, batch_idx_tr:1170/1170, WAR_te:59.72%, UAR_te:49.35%
[Fri Jun  5 06:28:33 2026] [Train] epo:11/25, batch_idx_tr:1170/1170, running_loss_tr:0.45, train acc:82.44%
[Fri Jun  5 06:41:19 2026] [Test] epo:11/25, batch_idx_tr:1170/1170, WAR_te:62.20%, UAR_te:49.66%
[Fri Jun  5 07:00:04 2026] [Train] epo:12/25, batch_idx_tr:1170/1170, running_loss_tr:0.40, train acc:84.59%
[Fri Jun  5 07:12:52 2026] [Test] epo:12/25, batch_idx_tr:1170/1170, WAR_te:59.33%, UAR_te:49.54%
[Fri Jun  5 07:31:30 2026] [Train] epo:13/25, batch_idx_tr:1170/1170, running_loss_tr:0.35, train acc:86.48%
[Fri Jun  5 07:44:18 2026] [Test] epo:13/25, batch_idx_tr:1170/1170, WAR_te:58.65%, UAR_te:48.30%
[Fri Jun  5 08:02:56 2026] [Train] epo:14/25, batch_idx_tr:1170/1170, running_loss_tr:0.29, train acc:88.50%
[Fri Jun  5 08:15:43 2026] [Test] epo:14/25, batch_idx_tr:1170/1170, WAR_te:60.49%, UAR_te:49.28%
[Fri Jun  5 08:34:21 2026] [Train] epo:15/25, batch_idx_tr:1170/1170, running_loss_tr:0.27, train acc:89.51%
[Fri Jun  5 08:47:08 2026] [Test] epo:15/25, batch_idx_tr:1170/1170, WAR_te:58.52%, UAR_te:47.47%
[Fri Jun  5 09:05:46 2026] [Train] epo:16/25, batch_idx_tr:1170/1170, running_loss_tr:0.24, train acc:90.73%
[Fri Jun  5 09:18:31 2026] [Test] epo:16/25, batch_idx_tr:1170/1170, WAR_te:58.99%, UAR_te:48.20%
[Fri Jun  5 09:37:09 2026] [Train] epo:17/25, batch_idx_tr:1170/1170, running_loss_tr:0.22, train acc:91.75%
[Fri Jun  5 09:49:55 2026] [Test] epo:17/25, batch_idx_tr:1170/1170, WAR_te:60.96%, UAR_te:48.76%
[Fri Jun  5 10:08:33 2026] [Train] epo:18/25, batch_idx_tr:1170/1170, running_loss_tr:0.19, train acc:92.84%
[Fri Jun  5 10:21:18 2026] [Test] epo:18/25, batch_idx_tr:1170/1170, WAR_te:61.13%, UAR_te:48.52%
[Fri Jun  5 10:39:56 2026] [Train] epo:19/25, batch_idx_tr:1170/1170, running_loss_tr:0.15, train acc:94.48%
[Fri Jun  5 10:52:40 2026] [Test] epo:19/25, batch_idx_tr:1170/1170, WAR_te:62.15%, UAR_te:49.59%
[Fri Jun  5 11:11:18 2026] [Train] epo:20/25, batch_idx_tr:1170/1170, running_loss_tr:0.15, train acc:94.25%
[Fri Jun  5 11:24:05 2026] [Test] epo:20/25, batch_idx_tr:1170/1170, WAR_te:60.57%, UAR_te:47.85%
[Fri Jun  5 11:42:42 2026] [Train] epo:21/25, batch_idx_tr:1170/1170, running_loss_tr:0.15, train acc:94.47%
[Fri Jun  5 11:55:29 2026] [Test] epo:21/25, batch_idx_tr:1170/1170, WAR_te:60.96%, UAR_te:50.17%
[Fri Jun  5 12:14:06 2026] [Train] epo:22/25, batch_idx_tr:1170/1170, running_loss_tr:0.12, train acc:95.67%
[Fri Jun  5 12:26:52 2026] [Test] epo:22/25, batch_idx_tr:1170/1170, WAR_te:61.43%, UAR_te:49.19%
[Fri Jun  5 12:45:30 2026] [Train] epo:23/25, batch_idx_tr:1170/1170, running_loss_tr:0.12, train acc:95.62%
[Fri Jun  5 12:58:16 2026] [Test] epo:23/25, batch_idx_tr:1170/1170, WAR_te:60.96%, UAR_te:48.88%
[Fri Jun  5 13:16:53 2026] [Train] epo:24/25, batch_idx_tr:1170/1170, running_loss_tr:0.11, train acc:95.97%
[Fri Jun  5 13:29:38 2026] [Test] epo:24/25, batch_idx_tr:1170/1170, WAR_te:61.00%, UAR_te:49.73%
[Fri Jun  5 13:48:16 2026] [Train] epo:25/25, batch_idx_tr:1170/1170, running_loss_tr:0.11, train acc:96.24%
[Fri Jun  5 14:01:01 2026] [Test] epo:25/25, batch_idx_tr:1170/1170, WAR_te:59.97%, UAR_te:49.34%
