[Sat Jun  6 23:43:39 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 4: [ 0.683  0.882  0.626  0.769  1.138 11.525  1.852]
[Sat Jun  6 23:43:39 2026] 
=======================================================
[Sat Jun  6 23:43:39 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Sat Jun  6 23:43:39 2026] Μοντέλο    : videomae
[Sat Jun  6 23:43:39 2026] Optimizer  : Adam (LR: 1e-05)
[Sat Jun  6 23:43:39 2026] Scheduler  : StepLR
[Sat Jun  6 23:43:39 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Sat Jun  6 23:43:39 2026] =======================================================

[Sun Jun  7 00:08:11 2026] [Train] epo:1/25, batch_idx_tr:1170/1170, running_loss_tr:1.57, train acc:43.28%
[Sun Jun  7 00:21:13 2026] [Test] epo:1/25, batch_idx_tr:1170/1170, WAR_te:39.76%, UAR_te:38.14%
[Sun Jun  7 00:39:51 2026] [Train] epo:2/25, batch_idx_tr:1170/1170, running_loss_tr:1.27, train acc:54.39%
[Sun Jun  7 00:52:37 2026] [Test] epo:2/25, batch_idx_tr:1170/1170, WAR_te:50.83%, UAR_te:48.55%
[Sun Jun  7 01:11:15 2026] [Train] epo:3/25, batch_idx_tr:1170/1170, running_loss_tr:1.14, train acc:59.37%
[Sun Jun  7 01:24:00 2026] [Test] epo:3/25, batch_idx_tr:1170/1170, WAR_te:56.09%, UAR_te:52.20%
[Sun Jun  7 01:42:37 2026] [Train] epo:4/25, batch_idx_tr:1170/1170, running_loss_tr:1.04, train acc:62.41%
[Sun Jun  7 01:55:22 2026] [Test] epo:4/25, batch_idx_tr:1170/1170, WAR_te:56.61%, UAR_te:46.65%
[Sun Jun  7 02:14:00 2026] [Train] epo:5/25, batch_idx_tr:1170/1170, running_loss_tr:0.96, train acc:65.52%
[Sun Jun  7 02:26:47 2026] [Test] epo:5/25, batch_idx_tr:1170/1170, WAR_te:59.85%, UAR_te:51.32%
[Sun Jun  7 02:45:25 2026] [Train] epo:6/25, batch_idx_tr:1170/1170, running_loss_tr:0.89, train acc:67.26%
[Sun Jun  7 02:58:12 2026] [Test] epo:6/25, batch_idx_tr:1170/1170, WAR_te:60.71%, UAR_te:52.64%
[Sun Jun  7 03:16:51 2026] [Train] epo:7/25, batch_idx_tr:1170/1170, running_loss_tr:0.81, train acc:70.76%
[Sun Jun  7 03:29:37 2026] [Test] epo:7/25, batch_idx_tr:1170/1170, WAR_te:61.86%, UAR_te:53.42%
